Run #	Config	Date/Time	RunType	Beam Mode	Beam Current	Beam Energy	Target	Log entries (HALOG, HAPLOG)	Run analyzed?	Comment	Raster X/Y	Helicity	IHWP setting	SAM 1 HV	SAM 2 HV	SAM 3 HV	SAM 4 HV	SAM 5 HV	SAM 6 HV	SAM 7 HV	SAM 8 HV
1309	ALL_PREX	2/23	Beam On	CW	0.1uA	2.2 GeV	Bogdan Wire		Y	Low beam current.	2mm/2mm	30 Hz,Quartet	In	551	77	618	284	498	75	536	233
1310	ALL_PREX	2/23	Beam On	CW	40uA	2.2 GeV	Tungsten(2.8%)		Y		1.5mm/5mm	30 Hz,Quartet	In	551	77	618	284	498	75	536	233
1311	ALL_PREX	2/24	junk	CW	50 uA	2.2 GeV	Tungsten(2.8%)		Y	Test Run	1.5mm/5mm	30 Hz,Quartet	In	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1312	ALL_PREX	2/24	Test	CW	50 uA	2.2 GeV	Tungsten(2.8%)		Y	Test Run	1.5mm/5mm	30 Hz,Quartet	In	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1313	ALL_PREX	2/24	Test	CW	50 uA	2.2 GeV	Tungsten(2.8%)		Y	Tuning SAM HV	1.5mm/5mm	30 Hz,Quartet	In	OFF	75	600	270	498	75	500	233
														OFF	75	580	250	500	75	500	240
														OFF	75	560	250	500	75	500	240
1314	ALL_PREX 	2/24	Test	CW	50 uA	2.2 GeV	Tungsten(2.8%)		Y	Tuning SAM HV	1.5mm/5mm	30 Hz,Quartet	In	OFF	75	560	250	500	75	500	240
														OFF	73	560	260	490	75	510	240
1315	ALL_PREX 	2/24	Beam On	CW	50 uA	2.2 GeV	Tungsten(2.8%)		Y		1.5mm/5mm	30 Hz,Quartet	In	OFF	73	560	260	490	75	510	240
1316	ALL_PREX 	2/24	Beam On	CW	50 uA	2.2 GeV	Tungsten(2.8%)				1.5mm/5mm	30 Hz,Quartet	In	OFF	73	560	260	490	75	510	240
1317	ALL_PREX 	2/24	Beam On	CW	50 uA	2.2 GeV	Tungsten(2.8%)		y		1.5mm/5mm	30 Hz,Quartet	In	OFF	73	560	260	490	75	510	240
1318	ALL_PREX 		junk							JUNK											
1319	ALL_PREX 	2/24	Beam On	CW	50 uA	2.2 GeV	Tungsten(2.8%)	https://ace.phys.virginia.edu:80/HAPPEX/3626	y		1.5mm/5mm	30 Hz,Quartet	In	OFF	73	560	260	490	75	510	240
1320	ALL_PREX 	2/24	Beam On	CW	50 uA	2.2 GeV	Tungsten(2.8%)		Y		1.5mm/5mm	30 Hz,Quartet	In	OFF	73	560	260	490	75	510	240
1321	ALL_PREX 	2/24	Beam On	CW	50 uA	2.2 GeV	Tungsten(2.8%)		Y		1.5mm/5mm	30 Hz,Quartet	In	OFF	73	560	260	490	75	510	240
1322	ALL_PREX 	2/24	junk	CW	1 uA	2.2 GeV	Tungsten(2.8%)			JUNK	1.5mm/5mm	30 Hz,Quartet	In	OFF	73	560	260	490	75	510	240
1323-1328			junk							trying to get  240 Hz work											
1329	ALL_PREX 	2/25	current calibration	cw	35,40,45					bpm gains off		30 Hz,Quartet	in	OFF	73	560	260	490	75	510	240
1330			junk																		
1331	ALL_PREX 	2/25	low current calibration	cw	0.1,0.3,0.5,1					bpm gains off		30 Hz,Quartet	in	OFF	73	560	260	490	75	510	240
1332	ALL_PREX 	2/25	PITA scan	cw	40					Change from -731 counts, to -931 pita counts		30 Hz,Quartet	in	OFF	73	560	260	490	75	510	240
1335	ALL_PREX 	2/25	Beam On	cw	40			https://ace.phys.virginia.edu:80/HAPPEX/3631		helicity magnets set. 30um.		30 Hz,Quartet	out	OFF	73	560	260	490	75	510	240
1336	ALL_PREX 	2/25	Beam On	cw	40					helicity magnets set 10x smaller.		240 Hz,Quartet	in	OFF	73	560	260	490	75	510	240
1337	ALL_PREX 	2/25	Beam On	cw	40					helicity magnets set 10x smaller.3um		240 Hz,Quartet	in	OFF	73	560	260	490	75	510	240
1338	ALL_PREX 	2/25	Beam On	cw	40			https://ace.phys.virginia.edu:80/HAPPEX/3631		helicity magnets in Y- 6um Y 4min		240 Hz,Quartet	in	OFF	73	560	260	490	75	510	240
1339	ALL_PREX 	2/25	Beam On	cw	40			https://ace.phys.virginia.edu:80/HAPPEX/3631		helicity magnets in X- 8um in X		240 Hz,Quartet	in	OFF	73	560	260	490	75	510	240
1340	ALL_PREX 	2/25	Beam On	cw	40	2.2Gev		https://ace.phys.virginia.edu:80/HAPPEX/3631		different Y magnet		240 Hz,Quartet	in	OFF	73	560	260	490	75	510	240
1341	ALL_PREX 	2/25	Beam On	cw	40	2.2Gev		https://ace.phys.virginia.edu:80/HAPPEX/3631		different X magnet.		240 Hz,Quartet	in	OFF	73	560	260	490	75	510	240
1343	ALL_PREX 	2/25	Beam On	cw	40	2.2Gev				feedback using hall bcm3. Pair synch error,  helicity magnets on at 1000 for x and 1000 for y MHE0L01V,02H. 		240 Hz,Quartet	in	OFF	73	560	260	490	75	510	240
1344	ALL_PREX 	2/25	Beam On	cw	40	2.2Gev				feedback using 1I02ws(actually 2I01ws) Works fine		240 Hz,Quartet	in	OFF	73	560	260	490	75	510	240
1345	ALL_PREX 	2/25	Beam On	cw	40	2.2Gev				getting ready for the feedback,junk		240 Hz,Quartet	in	OFF	73	560	260	490	75	510	240
1346	ALL_PREX 	2/25	Beam On	cw	40	2.2Gev				getting ready for the feedback,junk		240 Hz,Quartet	in	OFF	73	560	260	490	75	510	240
1347	ALL_PREX 	2/25	Beam On	cw	40	2.2GeV		https://ace.phys.virginia.edu:80/HAPPEX/3631		octet feedback using inj Aq		240 Hz, octet	in	OFF	73	560	260	490	75	510	240
1348	ALL_PREX	2/25																			
																					
1349	ALL_PREX	2/27								Beam was mostly off		30 Hz, Quartet		OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1350	ALL_PREX	2/27										30 Hz, Quartet		OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1351	ALL_PREX	2/27								test run		30 Hz, Quartet		OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1352	ALL_PREX	2/27	Beam On	cw	50	2.2 GeV	Tungsten(2.8%)		Y		1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1353	ALL_PREX	2/27	Beam On	cw	50	2.2GeV	Tungsten(2.8%)		Y	Current dropped to 30 uA towards end of run	1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1354	ALL_PREX	2/27	Beam On	cw	30	2.2GeV	Tungsten(2.8%)		Y	Current went upto 40 uA towards end of run	1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1355	ALL_PREX	2/27	Beam On	cw	40	2.2GeV	Tungsten(2.8%)		Y	Current dropped to 35 uA towards end of run; coda needed to be restarted in the middle of the run after 20 min	1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1356	ALL_PREX	2/27	Beam On	cw	30	2.2GeV	Tungsten(2.8%)		Y		1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1357	ALL_PREX	2/27	Beam On	cw	30	2.2GeV	Tungsten(2.8%)		Y		1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1358	ALL_PREX	2/28	Test	off						Taken to test the online analysis.											
1359 - 1363	ALL_PREX	2/28	junk						N	TMapFile tests											
1364	ALL_PREX	2/28	junk						N	/240Hz equivalent/spb=496 at 30Hz											
1365	ALL_PREX	2/28	junk						N	- 10sec run											
1366	ALL_PREX	3/1	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)		Y	Test run for analyzer	1.5mmx5mm 	30 Hz,Quartet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1367	ALL_PREX	3/1	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)		Y	Test run for analyzer	1.5mmx5mm 	30 Hz, Quartet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1368	ALL_PREX	3/1	Beam On	cw	30	2.2GeV	Tungsten(2.8%)		Y	Current went upto 50 uA towards end of run	1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1369	ALL_PREX	3/1	Beam On	cw	50	2.2GeV	Tungsten(2.8%)		Y		1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1370	ALL_PREX	3/1	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Test for beam modulation	1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
1371	ALL_PREX	3/1	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Test for beam modulation	1.5mmx5mm 	30 Hz, Quartet	out	OFF	73	560	260	490	75	510	240
